   80   80 6480 9640    23.33340944    50.39081152    50.43225564     1.60074868        in 7505
   1          0.01897001           4.2489760           30.554007          a 7505
   2          0.01631751           7.4554870          199.707549          a 7505
   3          0.01298909          17.9224910          151.748587          a 7505
   4          0.00813631          17.3777420          309.787194          a 7505
   5          0.00387047           5.5684710           76.981538          a 7505
   6          0.00255684          17.1047160           36.500332          a 7505
   7          0.00224715          17.6542770           38.094631          a 7505
   8          0.00199607           6.9228880          143.221446          a 7505
   9          0.00183885          16.8330840          110.368737          a 7505
  10          0.00152836          27.9606420          126.037683          a 7505
  11          0.00133092          17.3291720          287.371796          a 7505
  12          0.00131928          17.8265170           87.662659          a 7505
  13          0.00127119           7.3631070          207.751833          a 7505
  14          0.00122639          17.9662300           22.106974          a 7505
  15          0.00122535          18.1963570          248.085815          a 7505
  16          0.00115231          18.0128590           45.802901          a 7505
  17          0.00108585          18.4649230          180.148839          a 7505
  18          0.00107889           5.4807390          253.395973          a 7505
  19          0.00106811          17.8746700          106.493777          a 7505
  20          0.00098232          17.7174490          176.850256          a 7505
  21          0.00098055           5.6375810          119.722441          a 7505
  22          0.00097695           7.5488430            7.353912          a 7505
  23          0.00089902          17.1654560          195.303063          a 7505
  24          0.00087993           7.0180990          298.569408          a 7505
  25          0.00081629           5.6929880           67.383101          a 7505
  26          0.00075883          16.5592860            8.780932          a 7505
  27          0.00070627          16.2883280          268.179612          a 7505
  28          0.00068303          17.0635560          356.316600          a 7505
  29          0.00066867          19.0127170           12.223230          a 7505
  30          0.00061517          17.4301330          185.224101          a 7505
  31          0.00059594           5.4351250          275.662108          a 7505
  32          0.00056695          17.4838330          172.239567          a 7505
  33          0.00056648           3.0693970          120.838702          a 7505
  34          0.00055182           7.0587130          350.646648          a 7505
  35          0.00054616           6.1032570          305.464421          a 7505
  36          0.00053094          17.5962410           81.753584          a 7505
  37          0.00048907           7.3104230          179.260967          a 7505
  38          0.00046950          17.2866640          295.840281          a 7505
  39          0.00046769           6.8022770          129.771921          a 7505
  40          0.00045431           5.5190290          228.771664          a 7505
  41          0.00045400          17.2091170           75.874458          a 7505
  42          0.00043837           7.4101070           28.886670          a 7505
  43          0.00043468          18.2591970           48.914363          a 7505
  44          0.00042265          16.6312080          147.877770          a 7505
  45          0.00040535          18.0600550          295.440520          a 7505
  46          0.00038588           7.4996350          168.015081          a 7505
  47          0.00037435           5.3466710           74.146620          a 7505
  48          0.00032876           6.9543210          355.725019          a 7505
  49          0.00032834           7.5964180           27.938075          a 7505
  50          0.00032032          16.9679530           97.153971          a 7505
  51          0.00031746          18.4251880          122.411004          a 7505
  52          0.00029840          16.8996240          263.196122          a 7505
  53          0.00028764          18.1572080          224.704972          a 7505
  54          0.00026833           5.7331520          101.885549          a 7505
  55          0.00026364           6.0205650          131.650191          a 7505
  56          0.00026117          17.1360720          220.936829          a 7505
  57          0.00024127           6.8858280          266.154527          a 7505
  58          0.00022519           5.3870120           86.804073          a 7505
  59          0.00022239          17.5644940           18.795855          a 7505
  60          0.00021569          16.2377340          245.275412          a 7505
  61          0.00021471           6.2266610          333.741474          a 7505
  62          0.00020835           7.2454650          182.534517          a 7505
  63          0.00019803          18.3901790           50.570860          a 7505
  64          0.00019466           6.8381250          182.729924          a 7505
  65          0.00019398          16.0188640            7.576981          a 7505
  66          0.00018455           7.9994810           50.283867          a 7505
  67          0.00017479          16.7888370           43.795900          a 7505
  68          0.00017170          16.5171290          336.907143          a 7505
  69          0.00016734           6.7469360          160.252835          a 7505
  70          0.00016631           7.7244120          117.955662          a 7505
  71          0.00016427           7.1064750           20.409632          a 7505
  72          0.00016187          16.7155980           64.773462          a 7505
  73          0.00015558          16.0780600          119.704426          a 7505
  74          0.00015435          15.7465290           64.697911          a 7505
  75          0.00015185           6.0647920          131.509981          a 7505
  76          0.00014970          16.6639100            4.423037          a 7505
  77          0.00014637          18.1178240            7.080364          a 7505
  78          0.00014537           6.1414490          131.509639          a 7505
  79          0.00013971           6.7000530          294.355039          a 7505
  80          0.00013931          18.9144770          308.872588          a 7505
   1        0.0275377500        0.0000000000      107.5842640000          b 7505
   2        0.0159726907      -18.8501330000      245.5374174028          b 7505
   3        0.0103056004       -5.6043580000       17.1708163056          b 7505
   4        0.0080470350      -17.7613440000      287.1862523333          b 7505
   5        0.0056950509       -7.0527370000      143.7893866806          b 7505
   6        0.0053679781      -18.3049280000      263.7309911111          b 7505
   7        0.0044933868       -6.9629540000      312.0040406944          b 7505
   8        0.0033995915       -5.5138250000        8.1100079028          b 7505
   9        0.0030900553       -7.0046420000      119.5128136944          b 7505
  10        0.0029215719       -7.1501550000      332.6805047083          b 7505
  11        0.0027912957       -6.8616490000      304.0021056806          b 7505
  12        0.0027343548      -19.3939840000       41.6029308889          b 7505
  13        0.0026706163      -26.3300420000      128.0960450278          b 7505
  14        0.0019476601       -7.1909840000      302.8309277778          b 7505
  15        0.0019221487      -19.1237180000      149.8426091944          b 7505
  16        0.0017886139       -2.9858060000      142.2511505278          b 7505
  17        0.0015236235       -6.8122570000      329.9098826806          b 7505
  18        0.0014742402       -5.6878810000      230.4171223472          b 7505
  19        0.0014149403      -18.8929540000      229.0187111389          b 7505
  20        0.0012905824       -0.6921050000       23.9642195694          b 7505
  21        0.0012898826       -5.8352190000      195.8833357083          b 7505
  22        0.0012870636       -5.4579570000       34.0682549583          b 7505
  23        0.0011324959       -5.5642130000      184.9024297361          b 7505
  24        0.0010701971       -6.7530100000      298.9609428056          b 7505
  25        0.0010383678       -5.7466480000       20.4161315556          b 7505
