   19   15  240  411    23.44580000    50.28821417    50.38843182    -1.14039087
   1        0.0186079800        4.2072050000       28.5616560000
   2        0.0162752200        7.3460910000      193.6867430000
   3       -0.0130066000       17.8572630000      308.0590060000
   4        0.0098882900       17.2205460000      319.9604640000
   5       -0.0033670000       16.8467330000      279.1430020000
   6        0.0033307700        5.1990790000       87.1227910000
   7       -0.0023540000       18.2310760000      348.8764680000
   8        0.0014001500       26.2167580000      128.0792650000
   9        0.0010070000        6.3591690000      154.0555580000
  10        0.0008570000       16.2100160000      291.0444580000
  11        0.0006499000        3.0651810000      114.8180110000
  12        0.0005990000       16.5838290000      331.8619200000
  13        0.0003780000       18.4939800000      296.1575500000
  14       -0.0003370000        6.1909530000      145.6839250000
  15        0.0002760000       18.8677930000      336.9750100000
  16        0.0001820000       17.4255670000      151.8502660000
  17       -0.0001740000        6.1860010000      126.7539740000
  18       -0.0001240000       18.4174410000      210.4114010000
  19        0.0000125000        0.6678630000       72.0995620000
   1        0.0000000000        0.0000000000      106.1532140000
   2        0.0000000000      -18.8292990000      248.7715569584
   3        0.0000000000       -5.6109370000       12.0601673195
   4        0.0000000000      -17.8187690000      277.6875610972
   5        0.0000000000       -6.7710270000      305.1273999584
   6        0.0000000000      -18.4554860000      289.5890178055
   7        0.0000000000      -26.2670700000      125.2780215834
   8        0.0000000000      -19.4660160000      260.6730136666
   9        0.0000000000       -7.7579490000      265.4962147084
  10        0.0000000000       -2.9998370000      316.2516525972
  11        0.0000000000       -0.6914310000      201.2780607916
  12        0.0000000000      -18.1925820000      236.8701002500
  13        0.0000000000       -6.6028110000      313.4990332916
  14        0.0000000000      -19.8398290000      219.8555528195
  15        0.0000000000       -4.6240150000       51.6913525695
    1  -2030.1556051    0.636717    348.0986    2035441.
    2    951.0112070    3.138886    165.1250     412885.
    3    604.5385167    0.991874     58.5611    1306618.
    4    248.8697547    2.147012    106.5639     603630.
    5    247.7595278    1.010530     28.9160    1282495.
    6   -198.5064345   10.511172    114.3722     123297.
    7   -174.7686766   13.650058    279.4973      94945.
    8    160.6460335    9.874455    126.2737     131248.
    9    157.8966540    0.986922     39.6311    1313174.
   10    139.3691639   13.013341    291.3988      99590.
   11    116.7168592    0.004952     18.9299  261712439.
   12   -108.9757530    0.262904    307.2811    4929556.
   13    104.3771937    1.142024    273.7437    1134827.
   14     86.5225508    0.205021    191.8898    6321304.
   15     85.8279577    2.151964    125.4939     602241.
   16    -66.4216274    1.647247     17.0145     786767.
   17    -56.8528329    9.500642     85.4562     136412.
   18     56.4340145    1.384343     69.7334     936184.
   19    -54.2833155    0.373813     40.8174    3466974.
   20    -54.0495680    0.431696    156.2087    3002113.
   21    -48.8592246   12.639528    250.5813     102535.
   22    -46.8013065    1.155138     48.0028    1121944.
   23    -34.6928973   10.884985    155.1897     119063.
   24    -33.7343311   12.658184    220.9362     102384.
   25    -31.3728885    1.273434    336.1971    1017721.
   26    -31.1585837    1.983748    117.1222     653309.
   27    -30.7873891   14.023871    320.3148      92414.
   28     28.3788309    0.560178    262.3524    2313550.
   29     27.0049545   12.021467    232.8376     107807.
   30     24.3541169    4.280910     78.8687     302739.
   31    -21.4730327    8.359495    180.0203     155033.
   32    -19.8850711    0.168216      8.3716    7704380.
   33    -16.1280750    1.978796     98.1923     654944.
   34     15.5101749    8.863925     97.3577     146211.
   35     15.4382784    0.186365    221.5350    6954095.
   36     15.1694962    8.996212    168.1188     144061.
   37    -14.3710127    2.021060     57.8320     641248.
   38     13.0958039   12.002811    262.4828     107975.
   39     11.9028034   18.870667    294.3926      68678.
   40     11.6680331   22.009553     99.5176      58884.
   41    -11.2280020   11.498094    154.0034     112714.
   42    -10.4350744    0.578834    232.7073    2238984.
   43     10.4021504    9.237738    138.1751     140294.
   44    -10.0976870    1.196895    250.4510    1082802.
   45      9.9989087    2.133898    332.3048     607339.
   46     -9.9734670    0.173168     27.3015    7484062.
   47     -9.4903970   11.647654    192.0202     111267.
   48      9.0365126   10.861377    165.9049     119322.
   49      8.8768511   12.376624    303.3002     104714.
   50     -6.0362300    0.076539     85.7461   16932544.
   51     -5.9302802   13.031997    261.7536      99448.
   52     -5.6326932   14.792082    193.2410      87614.
   53      5.4395267   11.147889    102.4708     116255.
   54     -5.2425494    0.805509    197.0262    1608921.
   55     -4.9592044    9.370025    208.9363     138313.
   56      4.8527945   14.286775    267.5958      90713.
   57      4.4748836   14.155365    205.1424      91555.
   58      4.4368818    1.160090     66.9327    1117155.
   59     -4.0682168    7.985682    139.2028     162290.
   60      3.8428585   11.521702    143.2882     112483.
   61      3.7033542   11.666310    162.3750     111089.
   62      3.4529636   14.660588    308.4133      88400.
   63     -3.1866403   10.487564    125.0874     123575.
   64     -2.9780137   11.029593    174.2765     117502.
   65      2.8966457   10.079476    318.1636     128578.
   66      2.6200189    1.570708    291.2684     825106.
   67      2.5552669   11.010937    203.9216     117701.
   68      2.2174068   13.218362    123.2886      98045.
   69      2.1871045   21.017679     40.9564      61662.
   70      2.1115162    2.283964      5.1130     567435.
   71     -1.9681152   11.871907    194.8209     109165.
   72      1.9583444    3.293988     39.2375     393444.
   73      1.9113063   11.671262    181.3050     111042.
   74     -1.7967310   11.071350     16.7246     117059.
   75      1.7273608   11.384750    244.7391     113836.
   76     -1.6004964   14.210236    181.8497      91202.
   77     -1.5650442   13.781552    164.3249      94039.
   78     -1.5369194   11.034545    193.2064     117449.
   79      1.2766045    0.841738    179.9884    1539671.
   80      1.2647774    1.215551    220.8059    1066183.
   81      1.1819463   10.006742    197.0349     129513.
   82      1.1683851    1.910151    324.2957     678480.
   83      1.0495977   10.655780    133.4590     121624.
     0    83
